pointid,grid_code,Latitude_DD,Longitude_DD
46729,-3208,18.045128680000001,-64.726742740000006
46730,-3252,18.045167119999999,-64.722434620000001
47230,-3183,18.040852839999999,-64.743934479999993
47231,-3194,18.040891649999999,-64.739626500000000
47232,-3217,18.040930370000002,-64.735318520000007
47233,-3252,18.040968990000000,-64.731010519999998
47234,-3285,18.041007510000000,-64.726702509999996
47235,-3326,18.041045940000000,-64.722394489999999
47734,-3252,18.036692810000002,-64.748201730000005
47735,-3258,18.036731710000002,-64.743893869999994
47736,-3265,18.036770510000000,-64.739585989999995
47737,-3284,18.036809219999999,-64.735278100000002
47738,-3318,18.036847829999999,-64.730970200000002
47739,-3355,18.036886339999999,-64.726662300000001
47740,-3390,18.036924760000002,-64.722354379999999
48239,-3315,18.032571690000001,-64.748161030000006
48240,-3320,18.032610580000000,-64.743853259999995
48241,-3326,18.032649370000001,-64.739545480000004
48242,-3347,18.032688069999999,-64.735237699999999
48243,-3387,18.032726669999999,-64.730929900000007
48244,-3427,18.032765170000001,-64.726622090000006
48245,-3461,18.032803579999999,-64.722314269999998
48744,-3366,18.028450560000000,-64.748120330000006
48745,-3371,18.028489440000001,-64.743812669999997
48746,-3382,18.028528219999998,-64.739504990000000
48747,-3402,18.028566909999999,-64.735197299999996
48748,-3439,18.028605500000001,-64.730889610000006
48749,-3488,18.028644000000000,-64.726581899999999
48750,-3540,18.028682400000001,-64.722274179999999
49249,-3424,18.024329430000002,-64.748079649999994
49250,-3428,18.024368299999999,-64.743772079999999
49251,-3439,18.024407069999999,-64.739464510000005
49252,-3457,18.024445750000002,-64.735156919999994
49253,-3492,18.024484330000000,-64.730849320000004
49254,-3547,18.024522820000001,-64.726541720000000
49255,-3610,18.024561210000002,-64.722234099999994
49755,-3487,18.020247160000000,-64.743731510000003
49756,-3495,18.020285930000000,-64.739424040000003
49757,-3518,18.020324590000001,-64.735116550000001
49758,-3558,18.020363170000000,-64.730809050000005
49759,-3607,18.020401639999999,-64.726501549999995
49760,-3656,18.020440019999999,-64.722194029999997
50260,-3540,18.016126020000002,-64.743690950000001
50261,-3547,18.016164770000000,-64.739383570000001
50262,-3576,18.016203430000001,-64.735076190000001
50263,-3613,18.016241999999998,-64.730768789999999
50264,-3650,18.016280460000001,-64.726461380000003
50265,-3683,18.016318829999999,-64.722153969999994
50765,-3598,18.012004879999999,-64.743650400000007
50766,-3602,18.012043620000000,-64.739343120000001
50767,-3619,18.012082270000001,-64.735035839999995
50768,-3638,18.012120820000000,-64.730728540000001
50769,-3667,18.012159279999999,-64.726421230000000
50770,-3689,18.012197640000000,-64.722113919999998
51270,-3646,18.007883730000000,-64.743609860000007
51271,-3644,18.007922470000000,-64.739302690000002
51272,-3642,18.007961110000000,-64.734995499999997
51273,-3641,18.007999649999999,-64.730688299999997
51274,-3659,18.008038100000000,-64.726381090000004
51275,-3683,18.008076450000001,-64.722073879999996
51775,-3662,18.003762580000000,-64.743569330000000
51776,-3657,18.003801310000000,-64.739262260000004
51777,-3648,18.003839939999999,-64.734955170000006
51778,-3640,18.003878470000000,-64.730648070000001
51779,-3656,18.003916910000001,-64.726340969999995
51780,-3668,18.003955260000001,-64.722033850000003
52280,-3657,17.999641430000000,-64.743528810000001
52281,-3650,17.999680150000000,-64.739221839999999
52282,-3640,17.999718770000001,-64.734914849999996
52283,-3643,17.999757299999999,-64.730607860000006
52284,-3668,17.999795729999999,-64.726300850000001
52285,-3644,17.999834060000001,-64.721993830000002
52286,-3589,17.999872300000000,-64.717686799999996
52785,-3642,17.995520280000001,-64.743488310000004
52786,-3635,17.995558989999999,-64.739181430000002
52787,-3635,17.995597600000000,-64.734874550000001
52788,-3662,17.995636120000000,-64.730567649999998
52789,-3676,17.995674540000000,-64.726260740000001
52790,-3616,17.995712860000001,-64.721953819999996
52791,-3577,17.995751089999999,-64.717646889999997
53290,-3631,17.991399130000001,-64.743447810000006
53291,-3635,17.991437829999999,-64.739141029999999
53292,-3663,17.991476429999999,-64.734834250000006
53293,-3693,17.991514939999998,-64.730527449999997
53294,-3661,17.991553350000000,-64.726220639999994
53295,-3594,17.991591660000001,-64.721913830000005
53296,-3573,17.991629880000001,-64.717607000000001
53795,-3635,17.987277970000001,-64.743407329999997
53796,-3653,17.987316660000001,-64.739100649999997
53797,-3706,17.987355260000001,-64.734793960000005
53798,-3702,17.987393749999999,-64.730487269999998
53799,-3631,17.987432150000000,-64.726180560000003
53800,-3586,17.987470460000001,-64.721873840000001
53801,-3574,17.987508670000000,-64.717567110000005
54301,-3680,17.983195500000001,-64.739060269999996
54302,-3737,17.983234079999999,-64.734753690000005
54303,-3690,17.983272570000000,-64.730447089999998
54304,-3618,17.983310960000001,-64.726140479999998
54305,-3592,17.983349260000001,-64.721833860000004
54306,-3581,17.983387459999999,-64.717527230000002
54806,-3721,17.979074330000000,-64.739019909999996
54807,-3761,17.979112900000001,-64.734713420000006
54808,-3679,17.979151380000001,-64.730406930000001
54809,-3620,17.979189760000001,-64.726100419999995
54810,-3603,17.979228050000000,-64.721793899999994
54811,-3588,17.979266240000001,-64.717487370000001
54812,-3574,17.979304339999999,-64.713180829999999
55311,-3771,17.974953159999998,-64.738979560000004
55312,-3772,17.974991719999998,-64.734673169999994
55313,-3667,17.975030189999998,-64.730366770000003
55314,-3623,17.975068570000001,-64.726060369999999
55315,-3607,17.975106839999999,-64.721753949999993
55316,-3591,17.975145030000000,-64.717447519999993
55317,-3581,17.975183110000000,-64.713141080000000
55816,-3814,17.970831990000001,-64.738939220000006
55817,-3761,17.970870540000000,-64.734632930000004
55818,-3660,17.970908999999999,-64.730326629999993
55819,-3626,17.970947370000001,-64.726020320000003
55820,-3608,17.970985630000001,-64.721714000000006
55821,-3595,17.971023809999998,-64.717407670000000
55822,-3594,17.971061890000001,-64.713101330000001
56322,-3749,17.966749360000001,-64.734592699999993
56323,-3662,17.966787810000000,-64.730286500000005
56324,-3635,17.966826160000000,-64.725980289999995
56325,-3620,17.966864420000000,-64.721674070000006
56326,-3610,17.966902590000000,-64.717367839999994
56327,-3612,17.966940659999999,-64.713061600000003
56827,-3744,17.962628169999999,-64.734552480000005
56828,-3677,17.962666609999999,-64.730246379999997
56829,-3653,17.962704960000000,-64.725940269999995
56830,-3640,17.962743209999999,-64.721634150000000
56831,-3630,17.962781360000001,-64.717328019999997
56832,-3627,17.962819419999999,-64.713021879999999
57332,-3750,17.958506990000000,-64.734512269999996
57333,-3702,17.958545420000000,-64.730206269999996
57334,-3679,17.958583749999999,-64.725900260000003
57335,-3661,17.958621999999998,-64.721594240000002
57336,-3645,17.958660139999999,-64.717288210000007
57337,-3637,17.958698190000000,-64.712982170000004
57338,-3628,17.958736139999999,-64.708676109999999
57837,-3783,17.954385800000001,-64.734472069999995
57838,-3741,17.954424220000000,-64.730166170000004
57839,-3714,17.954462549999999,-64.725860260000005
57840,-3688,17.954500780000000,-64.721554339999997
57841,-3667,17.954538910000000,-64.717248409999996
57842,-3650,17.954576960000001,-64.712942459999994
57843,-3635,17.954614899999999,-64.708636510000005
58342,-3837,17.950264610000001,-64.734431880000002
58343,-3795,17.950303020000000,-64.730126080000005
58344,-3760,17.950341340000001,-64.725820270000000
58345,-3726,17.950379559999998,-64.721514450000001
58346,-3694,17.950417689999998,-64.717208619999994
58347,-3667,17.950455720000001,-64.712902769999999
58348,-3644,17.950493649999999,-64.708596920000005
58847,-3887,17.946143419999999,-64.734391700000003
58848,-3847,17.946181820000000,-64.730086000000000
58849,-3806,17.946220130000000,-64.725780290000003
58850,-3763,17.946258340000000,-64.721474569999998
58851,-3722,17.946296459999999,-64.717168839999999
58852,-3685,17.946334480000001,-64.712863089999999
58853,-3659,17.946372409999999,-64.708557339999999
59353,-3885,17.942060619999999,-64.730045930000003
59354,-3841,17.942098919999999,-64.725740320000000
59355,-3796,17.942137120000002,-64.721434700000003
59356,-3752,17.942175230000000,-64.717129069999999
59357,-3712,17.942213240000001,-64.712823430000000
59358,-3683,17.942251160000001,-64.708517770000000
59858,-3910,17.937939409999998,-64.730005879999993
59859,-3865,17.937977700000001,-64.725700369999998
59860,-3821,17.938015889999999,-64.721394840000002
59861,-3783,17.938053990000000,-64.717089310000006
59862,-3749,17.938092000000001,-64.712783770000001
59863,-3720,17.938129900000000,-64.708478209999996
60363,-3895,17.933818200000001,-64.729965829999998
60364,-3857,17.933856479999999,-64.725660419999997
60365,-3826,17.933894670000001,-64.721355000000003
60366,-3808,17.933932760000001,-64.717049560000007
60367,-3796,17.933970750000000,-64.712744119999996
60368,-3776,17.934008649999999,-64.708438670000007
60868,-3888,17.929697000000001,-64.729925800000004
60869,-3861,17.929735269999998,-64.725620480000003
60870,-3838,17.929773440000002,-64.721315160000003
60871,-3839,17.929811520000001,-64.717009829999995
60872,-3845,17.929849510000000,-64.712704479999999
60873,-3838,17.929887390000001,-64.708399130000004
61373,-3912,17.925575790000000,-64.729885769999996
61374,-3888,17.925614050000000,-64.725580559999997
