pointid,grid_code,Longitude_DD,Latitude_DD
39448,7.8933873,-64.735885469999999,18.098626299999999
39449,6.4512806,-64.731576059999995,18.098665050000001
39450,7.3077402,-64.727266650000004,18.098703709999999
39451,8.6851854,-64.722957219999998,18.098742269999999
39452,11.3666706,-64.718647790000006,18.098780730000001
39945,10.9434738,-64.744463469999999,18.094427400000001
39946,11.0280313,-64.740154189999998,18.094466340000000
39947,8.0696125,-64.735844900000004,18.094505170000001
39948,7.0189977,-64.731535600000001,18.094543920000000
39949,8.7422056,-64.727226279999996,18.094582559999999
39950,10.7723007,-64.722916960000006,18.094621109999999
39951,12.9809113,-64.718607620000000,18.094659560000000
40449,9.9190226,-64.744422720000003,18.090306290000001
40450,9.8171883,-64.740113530000002,18.090345220000000
40451,7.8932652,-64.735804340000001,18.090384050000001
40452,8.5759068,-64.731495140000007,18.090422780000001
40453,11.2083778,-64.727185930000005,18.090461420000000
40454,12.8278637,-64.722876700000000,18.090499959999999
40455,13.6418762,-64.718567469999996,18.090538400000000
40954,8.4609451,-64.744381970000006,18.086185180000001
40955,8.0381346,-64.740072889999993,18.086224099999999
40956,7.8563032,-64.735763800000001,18.086262919999999
40957,10.2891169,-64.731454700000000,18.086301639999999
40958,12.3527994,-64.727145579999998,18.086340270000001
40959,12.8838949,-64.722836459999996,18.086378799999999
40960,12.6937647,-64.718527330000001,18.086417229999999
41459,7.2371802,-64.744341230000003,18.082064070000001
41460,6.8931818,-64.740032249999999,18.082102979999998
41461,8.3338461,-64.735723260000000,18.082141790000001
41462,10.7441740,-64.731414259999994,18.082180500000000
41463,11.8011284,-64.727105249999994,18.082219120000001
41464,11.9269934,-64.722796230000000,18.082257640000002
41465,11.4401321,-64.718487190000005,18.082296060000001
41964,7.4246626,-64.744300510000002,18.077942960000001
41965,7.6526294,-64.739991630000006,18.077981850000000
41966,9.3944206,-64.735682740000001,18.078020649999999
41967,11.0196266,-64.731373840000003,18.078059360000001
41968,11.7860432,-64.727064929999997,18.078097960000001
41969,11.7902908,-64.722756009999998,18.078136480000001
41970,11.1074514,-64.718447069999996,18.078174890000000
42469,8.9132185,-64.744259799999995,18.073821840000001
42470,9.3225460,-64.739951020000007,18.073860730000000
42471,11.0622578,-64.735642229999996,18.073899520000001
42472,12.4211969,-64.731333430000007,18.073938210000001
42473,12.6670465,-64.727024619999995,18.073976810000001
42474,11.8551521,-64.722715789999995,18.074015310000000
42475,10.8593826,-64.718406959999996,18.074053719999998
42974,10.6190434,-64.744219090000001,18.069700720000000
42975,11.0911484,-64.739910420000001,18.069739599999998
42976,12.8065577,-64.735601729999999,18.069778379999999
42977,13.4657393,-64.731293030000003,18.069817069999999
42978,12.5368223,-64.726984320000000,18.069855660000002
42979,11.0662632,-64.722675589999994,18.069894150000000
42980,10.1477842,-64.718366860000003,18.069932550000001
43479,12.9712133,-64.744178399999996,18.065579600000000
43480,13.1325254,-64.739869819999996,18.065618470000000
43481,13.5060291,-64.735561239999996,18.065657240000000
43482,12.4841356,-64.731252639999994,18.065695920000000
43483,10.9397192,-64.726944029999999,18.065734500000001
43484,10.1896152,-64.722635400000001,18.065772979999998
43485,10.3703337,-64.718326770000004,18.065811369999999
43984,14.4547005,-64.744137719999998,18.061458479999999
43985,14.1607132,-64.739829240000006,18.061497339999999
43986,12.9542437,-64.735520760000000,18.061536100000001
43987,11.0497866,-64.731212260000007,18.061574770000000
43988,10.1993484,-64.726903750000005,18.061613340000001
43989,10.7738714,-64.722595229999996,18.061651810000001
43990,12.0765324,-64.718286689999999,18.061690190000000
44489,12.0233297,-64.744097049999993,18.057337359999998
44490,11.9873466,-64.739788669999996,18.057376210000001
44491,11.4148769,-64.735480289999998,18.057414959999999
